Year,Paper,Authors,Link
1979,Bootstrap Methods: Another Look at the Jackknife,Bradley Effron,https://link.springer.com/chapter/10.1007/978-1-4612-4380-9_41
1987,Hybrid Monte Carlo,Simon Duane et al.,https://www.sciencedirect.com/science/article/abs/pii/037026938791197X
2002,SMOTE: Synthetic Minority Over-sampling Technique,Nitesh V Chawla et al.,https://arxiv.org/abs/1106.1813
